         52189 function calls (51126 primitive calls) in 5.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\datetimelike.py:107(_simple_new)
        3    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\parsers.py:1272(__init__)
       18    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\arrays\_mixins.py:217(__getitem__)
       98    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:573(is_string_dtype)
        9    0.000    0.000    0.005    0.001 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\frame.py:2987(__getitem__)
      548    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:187(<lambda>)
       27    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:126(__init__)
       51    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.169    0.056 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\formats\csvs.py:293(_save_chunk)
       93    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\common.py:615(is_dtype_equal)
        3    0.000    0.000    0.082    0.027 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\construction.py:333(_homogenize)
        6    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\core\numeric.py:2264(isclose)
        6    0.000    0.000    0.194    0.032 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:1312(<listcomp>)
      402    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\arrays\datetimes.py:487(dtype)
      158    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\core\_asarray.py:23(asarray)
       24    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       73    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      194    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
       36    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\arrays\datetimelike.py:209(_from_backing_data)
       15    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\base.py:574(_engine)
        6    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:752(_combine)
       84    0.000    0.000    0.005    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\base.py:5836(ensure_index)
        3    0.000    0.000    0.322    0.107 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\resample.py:1044(_downsample)
      118    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\core\numerictypes.py:285(issubclass_)
       12    0.000    0.000    0.003    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\dtypes\cast.py:226(maybe_downcast_numeric)
      173    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\abc.py:137(__instancecheck__)
        6    0.000    0.000    0.000    0.000 {pandas._libs.lib.get_reverse_indexer}
        6    0.000    0.000    0.019    0.003 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\algorithms.py:1374(wrapper)
        6    0.000    0.000    0.027    0.004 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\datetimelike.py:201(take)
        3    0.000    0.000    0.181    0.060 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\generic.py:3204(to_csv)
       59    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\numpy\core\numerictypes.py:359(issubdtype)
      108    0.000    0.000    0.001    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\base.py:5953(maybe_extract_name)
       24    0.000    0.000    0.000    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\indexes\base.py:425(_simple_new)
        6    0.000    0.000    0.257    0.043 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\generic.py:3492(take)
        9    0.000    0.000    0.002    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:998(iget)
        6    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
  301/274    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       12    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       21    0.000    0.000    0.175    0.008 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\frame.py:502(__init__)
